,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
208,san isidro,21,PH,1559606740,67,16.74,121.63,83.06,3.67
209,egvekinot,89,RU,1559606807,72,66.32,-179.17,44.54,6.13
210,kochki,6,RU,1559606808,91,54.33,80.49,51.02,9.66
211,agirish,94,RU,1559606808,61,61.92,63.02,54.08,7.18
212,sibu,75,MY,1559606808,100,2.29,111.83,75.2,4.7
213,hami,29,CN,1559606808,18,42.84,93.51,72.62,16.44
214,georgetown,40,GY,1559606779,83,6.8,-58.16,80.6,9.17
215,morgan city,40,US,1559606653,62,29.7,-91.21,87.01,8.05
216,popova,75,RS,1559606809,93,43.33,21.27,57.2,3.36
217,san cristobal,20,EC,1559606809,45,-0.39,-78.55,68.0,6.93
218,jiaozuo,51,CN,1559606809,34,35.21,113.25,80.36,2.28
219,isangel,75,VU,1559606809,65,-19.55,169.27,78.8,5.82
220,ngunguru,1,NZ,1559606809,68,-35.62,174.5,60.01,7.0
221,souillac,0,FR,1559606809,77,45.6,-0.6,66.0,5.82
222,luau,41,CD,1559606809,48,-10.7,22.23,55.52,3.51
223,carballo,20,ES,1559606810,82,43.21,-8.69,62.01,5.82
224,faya,0,SA,1559606810,32,18.39,42.45,69.8,4.7
225,lascahobas,40,HT,1559606810,70,18.83,-71.94,86.0,9.17
226,staraya russa,1,RU,1559606810,81,57.99,31.36,50.48,6.11
227,yara,65,CU,1559606810,70,20.27,-76.95,82.88,3.42
228,grand gaube,40,MU,1559606810,69,-20.01,57.66,73.4,18.34
229,otane,61,NZ,1559606810,74,-39.89,176.62,54.0,11.01
230,chapais,90,CA,1559606811,87,49.78,-74.86,44.6,9.17
231,bad wurzach,75,DE,1559606811,82,47.91,9.89,64.0,4.7
232,tigre,0,AR,1559606811,87,-34.42,-58.58,59.0,3.49
233,anadyr,75,RU,1559606811,70,64.73,177.51,48.2,8.95
234,santa helena de goias,1,BR,1559606811,91,-17.81,-50.6,66.14,5.84
235,saint george,75,GR,1559606591,87,39.45,22.34,60.8,3.36
236,namatanai,86,PG,1559606811,82,-3.66,152.44,81.44,6.31
237,vao,36,EE,1559606812,60,59.1,26.19,61.46,11.72
238,saint-philippe,75,CA,1559606812,81,45.36,-73.48,52.0,10.29
239,puerto escondido,90,MX,1559606812,69,15.86,-97.07,80.6,5.37
240,celestun,100,MX,1559606812,82,20.87,-90.4,84.32,13.87
241,vanimo,100,PG,1559606812,71,-2.67,141.3,82.88,3.76
242,cidreira,0,BR,1559606812,72,-30.17,-50.22,60.02,4.45
243,itupiranga,0,BR,1559606812,78,-5.13,-49.33,82.4,4.7
244,codrington,0,AU,1559606812,47,-28.95,153.24,55.4,10.29
245,general roca,0,AR,1559606654,93,-39.03,-67.58,48.2,2.24
246,zhezkazgan,0,KZ,1559606813,72,47.8,67.71,64.7,2.24
247,mwene-ditu,5,CD,1559606813,44,-7.01,23.45,63.44,4.36
248,shenjiamen,30,CN,1559606813,88,29.96,122.3,72.44,4.07
249,sisimiut,0,GL,1559606813,74,66.94,-53.67,38.06,5.77
250,lima,90,PE,1559606715,82,-12.06,-77.04,64.4,3.36
251,manokwari,100,ID,1559606813,68,-0.87,134.08,78.38,4.25
252,banjar,100,ID,1559606813,96,-7.37,108.54,72.08,2.62
253,vila,0,IT,1559606814,68,45.18,8.4,71.01,2.24
254,burnie,46,AU,1559606814,62,-41.05,145.91,54.0,1.99
255,prince rupert,90,CA,1559606814,87,54.32,-130.32,51.8,5.82
256,muli,0,IN,1559606814,66,22.62,71.45,83.96,15.03
257,bagdarin,100,RU,1559606814,96,54.44,113.59,44.0,2.55
258,mikhaylovka,14,RU,1559606814,68,52.96,103.29,47.06,4.72
259,port hedland,0,AU,1559606815,29,-20.31,118.58,60.8,10.29
260,bima,100,ID,1559606815,87,-8.45,118.73,74.96,4.27
261,beian,40,NO,1559606815,87,63.66,9.57,53.01,4.7
262,flinders,75,AU,1559606815,71,-34.58,150.85,53.01,25.28
263,barentu,55,ER,1559606815,29,15.11,37.59,89.36,0.6
264,rantepao,100,ID,1559606815,96,-2.97,119.9,61.64,3.09
265,barra,10,BR,1559606816,50,-11.09,-43.14,76.58,1.12
266,cuamba,0,MZ,1559606816,95,-14.8,36.54,58.94,5.23
267,paranavai,0,BR,1559606816,72,-23.07,-52.47,68.0,6.42
268,naze,40,NG,1559606816,94,5.43,7.07,78.8,4.63
269,kearney,1,US,1559606816,51,40.7,-99.08,84.99,10.29
270,altay,0,CN,1559606816,54,47.83,88.13,51.38,2.66
271,lubao,75,PH,1559606816,78,14.94,120.6,91.0,4.7
272,witu,40,KE,1559606817,78,-2.39,40.44,80.6,11.41
273,mpika,0,ZM,1559606817,70,-11.84,31.4,52.28,7.76
274,nayoro,71,JP,1559606817,83,44.36,142.46,58.22,5.44
275,leningradskiy,100,RU,1559606817,91,69.38,178.42,38.06,6.13
276,nelson bay,75,AU,1559606817,93,-32.72,152.14,48.2,28.86
277,constitucion,90,MX,1559606817,31,23.99,-104.67,77.0,8.05
278,nazarovo,98,RU,1559606817,64,56.01,90.42,50.84,10.04
279,saskylakh,56,RU,1559606818,75,71.97,114.09,40.22,12.08
280,saint-augustin,0,FR,1559606818,88,44.83,-0.61,66.0,3.36
281,clyde river,75,CA,1559606818,86,70.47,-68.59,37.4,3.36
282,necochea,29,AR,1559606735,97,-38.55,-58.74,48.0,1.99
283,bansi,0,IN,1559606818,43,27.18,82.93,85.94,11.27
284,verkhnyaya toyma,27,RU,1559606818,72,62.24,45.0,38.78,4.14
285,dauphin,1,CA,1559606818,49,51.15,-100.04,73.4,18.34
286,swan river,100,CA,1559606655,65,52.11,-101.27,66.32,10.2
287,mujiayingzi,61,CN,1559606819,66,42.12,118.78,61.46,7.05
288,mana,94,RS,1559606819,100,43.52,20.24,57.2,2.24
289,baykit,67,RU,1559606819,60,61.68,96.39,54.44,6.98
290,gat,40,SN,1559606819,88,14.69,-16.54,71.6,14.99
291,derzhavinsk,91,KZ,1559606819,47,51.1,66.31,64.52,10.65
292,nishihara,75,JP,1559606819,73,35.74,139.53,80.01,2.24
293,sandnessjoen,94,NO,1559606819,100,66.02,12.63,50.0,4.7
294,guerrero negro,2,MX,1559606820,77,27.97,-114.04,65.42,12.82
295,mildura,0,AU,1559606820,81,-34.18,142.16,45.0,11.41
296,rio grande,0,BR,1559606820,92,-32.03,-52.1,53.54,3.62
297,makat,61,KZ,1559606820,29,47.65,53.35,79.64,8.08
298,poronaysk,38,RU,1559606820,62,49.22,143.1,56.96,5.26
299,sidney,75,US,1559606820,60,47.72,-104.16,86.0,23.04
300,luwuk,100,ID,1559606821,99,-0.95,122.79,66.14,2.77
301,raudeberg,97,NO,1559606821,87,61.99,5.14,55.0,28.86
302,kaltasy,6,RU,1559606821,89,55.97,54.79,47.24,14.97
303,senanga,0,ZM,1559606821,41,-16.1,23.3,53.36,5.14
304,itarema,100,BR,1559606821,92,-2.92,-39.92,76.76,5.44
305,taiyuan,0,CN,1559606821,31,37.86,112.56,75.2,2.24
306,zasosna,10,RU,1559606822,91,50.63,38.4,60.38,9.33
307,ahipara,100,NZ,1559606822,100,-35.17,173.16,59.0,12.71
308,trapani,0,IT,1559606822,63,38.02,12.54,66.99,1.12
309,coquimbo,20,CL,1559606599,93,-29.95,-71.34,68.0,4.7
310,langsa,100,ID,1559606822,86,4.47,97.97,71.9,2.66
311,biskamzha,32,RU,1559606822,71,53.45,89.53,45.8,2.37
312,vanavara,9,RU,1559606822,68,60.35,102.28,55.52,2.51
313,dunmore east,93,IE,1559606822,93,52.15,-6.99,53.01,4.36
314,lafia,14,NG,1559606823,65,8.5,8.51,80.18,4.41
315,dunedin,6,NZ,1559606714,58,-45.87,170.5,46.0,21.0
316,pontianak,100,ID,1559606823,86,-0.02,109.34,79.64,10.63
317,ondjiva,0,AO,1559606823,25,-17.07,15.73,58.4,6.38
318,thinadhoo,100,MV,1559606823,78,0.53,72.93,83.96,24.09
319,bambous virieux,40,MU,1559606823,69,-20.34,57.76,73.4,18.34
320,bumba,100,CD,1559606823,95,2.18,22.47,71.72,1.43
321,berlevag,0,NO,1559606823,77,70.86,29.09,39.86,10.2
322,laguna,5,MX,1559606824,40,27.52,-110.01,86.0,10.29
323,great yarmouth,100,GB,1559606824,71,52.61,1.73,57.99,6.93
324,kholm,0,RU,1559606824,83,57.15,31.18,49.94,4.54
325,shubarkuduk,98,KZ,1559606824,59,49.15,56.49,71.18,4.03
326,roma,0,IT,1559606606,88,41.89,12.48,64.0,2.24
327,shumskiy,45,RU,1559606824,64,54.83,99.13,51.38,5.23
328,namibe,0,AO,1559606825,68,-15.19,12.15,71.9,6.91
329,le port,84,FR,1559606825,65,42.87,1.37,64.99,1.99
330,balaipungut,95,ID,1559606825,94,1.11,101.31,75.68,0.87
331,provideniya,20,RU,1559606825,75,64.42,-173.23,42.8,11.18
332,port hardy,75,CA,1559606826,71,50.7,-127.42,55.4,10.29
333,dingle,89,PH,1559606826,62,11.0,122.67,86.48,8.66
334,ivnya,0,RU,1559606826,82,51.06,36.14,62.6,4.47
335,san rafael,85,AR,1559606657,49,-34.61,-68.33,51.92,13.44
336,longyearbyen,75,NO,1559606827,69,78.22,15.63,35.6,6.93
337,linhares,0,BR,1559606827,79,-19.38,-40.06,70.1,2.46
338,baker city,1,US,1559606827,31,44.77,-117.83,78.8,9.17
339,pacific grove,1,US,1559606602,53,36.62,-121.92,82.99,17.22
340,belmonte,45,PT,1559606827,78,40.36,-7.35,61.0,1.99
341,araouane,0,ML,1559606828,7,18.9,-3.53,90.08,10.13
342,lasa,0,CY,1559606828,63,34.92,32.53,75.2,3.36
343,bereda,20,ES,1559606828,82,43.27,-7.54,60.01,5.82
344,westport,65,IE,1559606828,86,53.8,-9.52,52.0,7.72
345,sehwan,1,PK,1559606828,66,26.43,67.86,84.2,6.93
346,ilulissat,57,GL,1559606828,80,69.22,-51.1,41.0,3.36
347,fria,98,GN,1559606828,91,10.36,-13.58,75.5,2.19
348,tsiroanomandidy,30,MG,1559606829,90,-18.77,46.05,62.36,1.86
349,coihaique,90,CL,1559606829,93,-45.58,-72.07,42.8,6.93
350,melilla,75,EC,1559606829,74,-0.8,-80.23,78.8,8.05
351,thunder bay,75,CA,1559606829,41,48.41,-89.26,57.2,9.17
352,poykovskiy,0,RU,1559606829,81,61.23,73.33,50.0,2.24
353,sindor,20,RU,1559606829,76,62.87,51.9,40.58,8.08
354,artyom,20,RU,1559606829,88,43.36,132.19,62.6,7.72
355,high level,75,CA,1559606830,51,58.52,-117.13,59.0,16.11
356,marystown,94,CA,1559606830,97,47.17,-55.16,49.22,8.75
357,kuloy,0,RU,1559606830,65,61.03,42.49,40.76,3.02
358,ziway,60,ET,1559606830,75,7.93,38.72,61.1,2.84
359,te anau,24,NZ,1559606830,71,-45.41,167.72,37.52,1.9
360,saint-joseph,0,FR,1559606830,82,43.56,6.97,68.0,3.36
361,deputatskiy,0,RU,1559606830,62,69.3,139.9,41.84,16.26
362,touros,20,BR,1559606831,83,-5.2,-35.46,78.8,8.05
363,corn island,40,NI,1559606831,78,12.17,-83.04,83.78,14.29
364,el fuerte,0,MX,1559606831,48,26.42,-108.62,84.14,11.14
365,bandarbeyla,100,SO,1559606831,71,9.49,50.81,81.44,16.06
366,saint-michel-des-saints,98,CA,1559606831,84,46.68,-73.92,42.92,12.97
367,bougouni,99,ML,1559606543,80,11.42,-7.49,79.1,8.5
368,porto empedocle,0,IT,1559606705,86,37.29,13.53,64.0,4.83
369,san quintin,30,PH,1559606831,61,17.54,120.52,87.56,3.51
370,carndonagh,75,IE,1559606831,87,55.25,-7.27,50.0,5.82
371,mus,0,FR,1559606832,87,43.74,4.2,66.2,4.7
372,baghdad,0,IQ,1559606818,17,33.3,44.38,94.58,13.78
373,mpophomeni,26,ZA,1559606832,83,-29.57,30.18,60.01,4.07
374,sioux lookout,90,CA,1559606832,44,50.1,-91.92,57.2,6.93
375,roanoke rapids,40,US,1559606832,68,36.46,-77.65,77.0,4.88
376,ballina,16,IE,1559606832,90,54.11,-9.15,52.0,1.01
377,port macquarie,1,AU,1559606832,50,-31.43,152.91,61.0,19.46
378,ostrovnoy,6,RU,1559606832,76,68.05,39.51,36.62,5.3
379,poyarkovo,48,RU,1559606833,57,49.62,128.65,67.22,4.76
380,bukachacha,100,RU,1559606833,80,52.99,116.91,57.32,5.41
381,ancud,90,CL,1559606833,100,-41.87,-73.83,53.6,14.99
382,murdochville,91,CA,1559606833,96,48.96,-65.49,49.76,1.16
383,portage,1,US,1559606765,32,42.2,-85.58,68.0,8.05
384,lata,0,IN,1559606833,58,30.78,78.62,34.1,10.25
385,general cepeda,90,MX,1559606833,68,25.38,-101.48,70.0,17.22
386,tata,0,HU,1559606834,77,47.65,18.32,69.01,2.24
